TIME wclk4 wclk0 wclk1 wclk2 wclk3 wctl2 wctl2 
 1.20185E-11  3.46927E-01 -6.56971E-03  6.99898E-01 -4.86072E-05  6.95496E-01  7.00000E-01  7.00000E-01 
 1.20194E-11  3.46904E-01 -6.57008E-03  6.99898E-01 -4.86032E-05  6.95496E-01  7.00000E-01  7.00000E-01 
 1.20554E-11  3.45990E-01 -6.58449E-03  6.99898E-01 -4.84502E-05  6.95491E-01  7.00000E-01  7.00000E-01 
 1.20582E-11  3.45919E-01 -6.58561E-03  6.99898E-01 -4.84384E-05  6.95491E-01  7.00000E-01  7.00000E-01 
 1.21030E-11  3.44784E-01 -6.60362E-03  6.99898E-01 -4.82476E-05  6.95485E-01  7.00000E-01  7.00000E-01 
 1.21087E-11  3.44640E-01 -6.60591E-03  6.99898E-01 -4.82233E-05  6.95484E-01  7.00000E-01  7.00000E-01 
 1.21551E-11  3.43467E-01 -6.62463E-03  6.99898E-01 -4.80255E-05  6.95477E-01  7.00000E-01  7.00000E-01 
 1.21646E-11  3.43228E-01 -6.62849E-03  6.99898E-01 -4.79848E-05  6.95476E-01  7.00000E-01  7.00000E-01 
 1.22396E-11  3.41338E-01 -6.65896E-03  6.99898E-01 -4.76640E-05  6.95466E-01  7.00000E-01  7.00000E-01 
 1.22544E-11  3.40968E-01 -6.66500E-03  6.99898E-01 -4.76007E-05  6.95464E-01  7.00000E-01  7.00000E-01 
 1.23534E-11  3.38486E-01 -6.70559E-03  6.99898E-01 -4.71758E-05  6.95451E-01  7.00000E-01  7.00000E-01 
 1.23857E-11  3.37682E-01 -6.71896E-03  6.99898E-01 -4.70368E-05  6.95447E-01  7.00000E-01  7.00000E-01 
 1.24600E-11  3.35830E-01 -6.74974E-03  6.99898E-01 -4.67167E-05  6.95437E-01  7.00000E-01  7.00000E-01 
 1.25098E-11  3.34597E-01 -6.77056E-03  6.99898E-01 -4.65017E-05  6.95431E-01  7.00000E-01  7.00000E-01 
 1.25630E-11  3.33277E-01 -6.79285E-03  6.99898E-01 -4.62716E-05  6.95424E-01  7.00000E-01  7.00000E-01 
 1.26237E-11  3.31780E-01 -6.81856E-03  6.99898E-01 -4.60081E-05  6.95416E-01  7.00000E-01  7.00000E-01 
 1.26666E-11  3.30724E-01 -6.83669E-03  6.99898E-01 -4.58222E-05  6.95411E-01  7.00000E-01  7.00000E-01 
 1.27339E-11  3.29073E-01 -6.86550E-03  6.99898E-01 -4.55293E-05  6.95403E-01  7.00000E-01  7.00000E-01 
 1.27714E-11  3.28152E-01 -6.88157E-03  6.99898E-01 -4.53659E-05  6.95398E-01  7.00000E-01  7.00000E-01 
 1.28416E-11  3.26438E-01 -6.91199E-03  6.99897E-01 -4.50590E-05  6.95390E-01  7.00000E-01  7.00000E-01 
 1.28795E-11  3.25514E-01 -6.92839E-03  6.99897E-01 -4.48936E-05  6.95385E-01  7.00000E-01  7.00000E-01 
 1.29490E-11  3.23827E-01 -6.95887E-03  6.99897E-01 -4.45890E-05  6.95377E-01  7.00000E-01  7.00000E-01 
 1.29928E-11  3.22764E-01 -6.97808E-03  6.99897E-01 -4.43970E-05  6.95372E-01  7.00000E-01  7.00000E-01 
 1.30578E-11  3.21195E-01 -7.00698E-03  6.99897E-01 -4.41114E-05  6.95365E-01  7.00000E-01  7.00000E-01 
 1.31134E-11  3.19852E-01 -7.03174E-03  6.99897E-01 -4.38668E-05  6.95359E-01  7.00000E-01  7.00000E-01 
 1.31694E-11  3.18508E-01 -7.05707E-03  6.99897E-01 -4.36200E-05  6.95353E-01  7.00000E-01  7.00000E-01 
 1.32444E-11  3.16707E-01 -7.09103E-03  6.99897E-01 -4.32893E-05  6.95345E-01  7.00000E-01  7.00000E-01 
 1.32855E-11  3.15726E-01 -7.11003E-03  6.99897E-01 -4.31081E-05  6.95340E-01  7.00000E-01  7.00000E-01 
 1.33558E-11  3.14047E-01 -7.14256E-03  6.99897E-01 -4.27977E-05  6.95333E-01  7.00000E-01  7.00000E-01 
 1.34080E-11  3.12804E-01 -7.16734E-03  6.99897E-01 -4.25670E-05  6.95328E-01  7.00000E-01  7.00000E-01 
 1.34438E-11  3.11951E-01 -7.18434E-03  6.99896E-01 -4.24089E-05  6.95324E-01  7.00000E-01  7.00000E-01 
 1.35167E-11  3.10218E-01 -7.21993E-03  6.99896E-01 -4.20868E-05  6.95316E-01  7.00000E-01  7.00000E-01 
 1.35396E-11  3.09676E-01 -7.23139E-03  6.99896E-01 -4.19861E-05  6.95314E-01  7.00000E-01  7.00000E-01 
 1.35803E-11  3.08712E-01 -7.25178E-03  6.99896E-01 -4.18069E-05  6.95310E-01  7.00000E-01  7.00000E-01 
 1.36380E-11  3.07344E-01 -7.28144E-03  6.99896E-01 -4.15531E-05  6.95304E-01  7.00000E-01  7.00000E-01 
