time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
1.02573714442E-6,937.729451583E-3,1.00000000000,100.000000000E-3
1.02661995293E-6,927.310531602E-3,1.00000000000,100.000000000E-3
1.02726078812E-6,921.323537513E-3,1.00000000000,100.000000000E-3
1.02776157846E-6,917.921488464E-3,1.00000000000,100.000000000E-3
1.02822033707E-6,915.972698069E-3,1.00000000000,100.000000000E-3
1.02864255919E-6,915.241622993E-3,1.00000000000,100.000000000E-3
1.02905076588E-6,915.516134659E-3,1.00000000000,100.000000000E-3
1.02946383849E-6,916.740730530E-3,1.00000000000,100.000000000E-3
1.02988981130E-6,918.917929584E-3,1.00000000000,100.000000000E-3
1.03033627023E-6,922.058090217E-3,1.00000000000,100.000000000E-3
1.03081275872E-6,926.169945059E-3,1.00000000000,100.000000000E-3
1.03133518752E-6,931.271279257E-3,1.00000000000,100.000000000E-3
1.03194007524E-6,937.463134616E-3,1.00000000000,100.000000000E-3
1.03277880500E-6,945.467086419E-3,1.00000000000,100.000000000E-3
1.03335166564E-6,950.028646809E-3,1.00000000000,100.000000000E-3
1.03394312455E-6,953.523604810E-3,1.00000000000,100.000000000E-3
1.03446486144E-6,955.352794438E-3,1.00000000000,100.000000000E-3
1.03492643348E-6,955.890523467E-3,1.00000000000,100.000000000E-3
1.03536582752E-6,955.432454523E-3,1.00000000000,100.000000000E-3
1.03579799570E-6,954.084440289E-3,1.00000000000,100.000000000E-3
1.03623393109E-6,951.893631185E-3,1.00000000000,100.000000000E-3
1.03668377615E-6,948.875474981E-3,1.00000000000,100.000000000E-3
1.03715772611E-6,945.036909025E-3,1.00000000000,100.000000000E-3
1.03767181255E-6,940.360432354E-3,1.00000000000,100.000000000E-3
1.03826010227E-6,934.741015635E-3,1.00000000000,100.000000000E-3
1.03904780433E-6,927.567316814E-3,1.00000000000,100.000000000E-3
1.03962738893E-6,922.987694302E-3,1.00000000000,100.000000000E-3
1.04024240889E-6,919.188564605E-3,1.00000000000,100.000000000E-3
1.04078347261E-6,916.970856234E-3,1.00000000000,100.000000000E-3
1.04126824637E-6,915.981868919E-3,1.00000000000,100.000000000E-3
1.04173497539E-6,915.952307848E-3,1.00000000000,100.000000000E-3
1.04219560205E-6,916.786267301E-3,1.00000000000,100.000000000E-3
1.04266548402E-6,918.445541721E-3,1.00000000000,100.000000000E-3
1.04315627463E-6,920.919686618E-3,1.00000000000,100.000000000E-3
1.04368056676E-6,924.197678844E-3,1.00000000000,100.000000000E-3
1.04426029011E-6,928.280429592E-3,1.00000000000,100.000000000E-3
1.04494898516E-6,933.248873955E-3,1.00000000000,100.000000000E-3
1.04599539673E-6,939.712673977E-3,1.00000000000,100.000000000E-3
1.04676029740E-6,942.925825619E-3,1.00000000000,100.000000000E-3
1.04734789671E-6,944.230887512E-3,1.00000000000,100.000000000E-3
1.04788249418E-6,944.413133828E-3,1.00000000000,100.000000000E-3
1.04837475798E-6,943.710222616E-3,1.00000000000,100.000000000E-3
1.04885686705E-6,942.250161097E-3,1.00000000000,100.000000000E-3
1.04934850739E-6,940.064175960E-3,1.00000000000,100.000000000E-3
1.04986224427E-6,937.172388611E-3,1.00000000000,100.000000000E-3
1.05041631054E-6,933.574195943E-3,1.00000000000,100.000000000E-3
1.05104470133E-6,929.225653327E-3,1.00000000000,100.000000000E-3
1.05185940033E-6,923.811684306E-3,1.00000000000,100.000000000E-3
1.05247713997E-6,920.253085697E-3,1.00000000000,100.000000000E-3
1.05317636264E-6,917.191826757E-3,1.00000000000,100.000000000E-3
1.05378197442E-6,915.571982299E-3,1.00000000000,100.000000000E-3
1.05432301561E-6,915.019965485E-3,1.00000000000,100.000000000E-3
1.05484602642E-6,915.300019522E-3,1.00000000000,100.000000000E-3
1.05536544493E-6,916.321408986E-3,1.00000000000,100.000000000E-3
1.05589934465E-6,918.038583822E-3,1.00000000000,100.000000000E-3
1.05646535145E-6,920.426909437E-3,1.00000000000,100.000000000E-3
1.05708742541E-6,923.462234237E-3,1.00000000000,100.000000000E-3
1.05782125189E-6,927.159007874E-3,1.00000000000,100.000000000E-3
1.05897776447E-6,932.011071744E-3,1.00000000000,100.000000000E-3
1.05982038467E-6,934.184183085E-3,1.00000000000,100.000000000E-3
1.06046506592E-6,934.822572280E-3,1.00000000000,100.000000000E-3
1.06105601573E-6,934.536273526E-3,1.00000000000,100.000000000E-3
1.06160720610E-6,933.523430219E-3,1.00000000000,100.000000000E-3
1.06215286008E-6,931.879531883E-3,1.00000000000,100.000000000E-3
1.06271865999E-6,929.627266767E-3,1.00000000000,100.000000000E-3
1.06332618940E-6,926.784828306E-3,1.00000000000,100.000000000E-3
1.06401617115E-6,923.334038018E-3,1.00000000000,100.000000000E-3
1.06492087685E-6,919.062814893E-3,1.00000000000,100.000000000E-3
1.06561295083E-6,916.345987996E-3,1.00000000000,100.000000000E-3
1.06636926314E-6,914.255646499E-3,1.00000000000,100.000000000E-3
1.06703217267E-6,913.331026810E-3,1.00000000000,100.000000000E-3
1.06763185006E-6,913.270229696E-3,1.00000000000,100.000000000E-3
1.06821953978E-6,913.898110643E-3,1.00000000000,100.000000000E-3
1.06881267985E-6,915.132546094E-3,1.00000000000,100.000000000E-3
1.06943547783E-6,916.922916913E-3,1.00000000000,100.000000000E-3
1.07012035214E-6,919.230384194E-3,1.00000000000,100.000000000E-3
1.07093706818E-6,922.029559731E-3,1.00000000000,100.000000000E-3
1.07179438312E-6,924.540136224E-3,1.00000000000,100.000000000E-3
1.07274184281E-6,926.294278284E-3,1.00000000000,100.000000000E-3
1.07347873779E-6,926.710539664E-3,1.00000000000,100.000000000E-3
1.07413078159E-6,926.319519495E-3,1.00000000000,100.000000000E-3
1.07475885679E-6,925.289661722E-3,1.00000000000,100.000000000E-3
1.07538059720E-6,923.725111621E-3,1.00000000000,100.000000000E-3
1.07603086152E-6,921.659489739E-3,1.00000000000,100.000000000E-3
1.07674834198E-6,919.109875912E-3,1.00000000000,100.000000000E-3
1.07762161078E-6,916.039855415E-3,1.00000000000,100.000000000E-3
1.07844266406E-6,913.562043935E-3,1.00000000000,100.000000000E-3
1.07937222712E-6,911.628425207E-3,1.00000000000,100.000000000E-3
1.08013368558E-6,910.896299591E-3,1.00000000000,100.000000000E-3
1.08081807026E-6,910.934010933E-3,1.00000000000,100.000000000E-3
1.08148705716E-6,911.565978216E-3,1.00000000000,100.000000000E-3
1.08216221383E-6,912.690794865E-3,1.00000000000,100.000000000E-3
1.08288318060E-6,914.246758267E-3,1.00000000000,100.000000000E-3
1.08370879127E-6,916.174872040E-3,1.00000000000,100.000000000E-3
1.08484821099E-6,918.442839020E-3,1.00000000000,100.000000000E-3
1.08602441548E-6,919.688015351E-3,1.00000000000,100.000000000E-3
1.08685554671E-6,919.699179060E-3,1.00000000000,100.000000000E-3
1.08759999251E-6,919.052660030E-3,1.00000000000,100.000000000E-3
1.08831734743E-6,917.894806153E-3,1.00000000000,100.000000000E-3
1.08903602619E-6,916.330911176E-3,1.00000000000,100.000000000E-3
1.08981593727E-6,914.380101060E-3,1.00000000000,100.000000000E-3
1.09074795295E-6,912.051441597E-3,1.00000000000,100.000000000E-3
